id,Player Name,Country,Matches,Runs,Average,Strike_Rate,Fours,Sixes,50's,100's,200's,Balls,Wickets,Bowling_Avg,Economy,Bowling_Strike_Rate,5W's,Type
1,Rohit Sharma,India,259,10555,49.09,91.54,977,314,54,31,3,593,8,64.38,5.21,74.12,0,1
2,Shubman Gill,India,41,2136,61.03,102.2,244,45,11,6,1,0,0,0,0,0,0,1
3,Virtat Kholi,India,289,13626,58.48,93.55,1276,149,70,49,0,644,4,166.75,6.21,161,0,1
4,Shreyas Iyer,India,55,2094,46.53,97.8,198,48,17,3,0,37,0,0,6.32,0,0,1
5,Suryakumar Yadav,India,34,752,26.86,106.67,79,19,4,0,0,0,0,0,0,0,0,1
6,Ravimdra Jadeja,India,194,2747,32.7,85.36,199,54,13,0,0,9576,218,35.69,4.88,43.93,2,2
7,Ravichandran Ashwin,India,116,707,16.44,86.96,60,7,1,0,0,6303,156,33.21,4.93,40.4,0,2
8,KL Rahul,India,69,2536,48.77,86.92,198,55,16,6,0,0,0,0,0,0,0,4
9,Ishan Kishan,India,27,933,42.41,102.19,95,33,7,1,1,0,0,0,0,0,0,4
10,Shardul Thakur,India,47,329,17.32,105.11,31,9,1,0,0,1940,65,30.98,6.32,29.85,0,3
11,Jasprit Bumrah,India,86,90,8.18,57.69,10,1,0,0,0,4412,144,23.4,4.58,30.64,2,3
12,Kuldeep Yadav,India,98,179,10.53,56.83,14,0,0,0,0,4946,164,25.4,5.05,30.16,2,3
13,Mohammed Shami,India,98,214,7.93,83.92,16,9,0,0,0,4848,187,23.92,5.54,25.93,4,3
14,Mohammed Siraj,India,38,37,6.17,40.22,2,0,0,0,0,1693,64,21.86,4.96,26.45,1,3
15,Prasidh Krishna,India,17,2,1,11.76,0,0,0,0,0,794,29,25.59,5.61,27.38,0,3
16,,,,,,,,,,,,,,,,,,
17,Temba Bavuma,South A,36,1489,46.53,89.38,143,23,4,5,0,37,0,0,3.57,0,0,1
18,Reeza Hendricks,South A,31,858,29.59,80.41,88,9,6,1,0,42,1,47,6.71,42,0,1
19,Aiden Markram,South A,63,2036,37.7,99.71,210,48,10,3,0,752,16,46.12,5.89,47,0,1
20,David Miller,South A,168,4321,42.36,104.4,321,132,24,5,0,0,0,0,0,0,0,1
21,Rassie van der Dussen,South A,57,2240,54.63,89.21,173,40,13,6,0,0,0,0,0,0,0,1
22,Marco Jasen,South A,22,422,32.46,113.44,32,20,1,0,0,1050,35,31.51,6.3,30,1,2
23,Andile Phehlukwayo,South A,76,782,24.44,88.16,69,31,2,0,0,2947,89,31.88,5.78,33.11,0,2
24,Quinton de Kock,South A,153,6726,46.07,96.86,769,115,30,21,0,0,0,0,0,0,0,4
25,Heinrich Klaasen,South A,49,1639,42.03,116.74,142,58,6,4,0,0,0,0,0,0,0,4
26,Gerald Coetzee,South A,12,38,6.33,74.51,2,1,0,0,0,552,25,25.16,6.84,22.08,0,3
27,Keshav Maharaj,South A,39,216,246,14.4,87.8,28,2,0,0,1958,49,31.22,4.69,39.96,0,3
28,Lungi Ngidi,South A,55,9111.38,49.19,5,5,0,0,0,0,2568,86,28.36,5.7,29.86,1,3
29,Kagiso Rabada,South A,99,350,15.22,79.91,26,10,0,0,0,5075,156,27.44,50.6,32.53,2,3
30,Tabraiz Shmsi,South A,49,26,6.5,48.15,2,0,0,0,0,2403,70,31.71,5.54,34.33,1,3
31,Lizaad Williams,South A,2,0,0,0,0,0,0,0,0,100,3,39.33,7.08,33.33,0,3
32,,,,,,,,,,,,,,,,,,
33,Steven Smith,Australia,152,5259,43.46,87.61,469,50,31,12,0,1076,28,34.68,5.41,38.43,0,1
34,Travis Head,Australia,61,2184,40.44,101.44,238,47,15,4,0,975,16,58.81,5.79,60.94,0,1
35,David Warner,Australia,158,6843,45.32,97.13,725,126,32,22,0,0,0,0,0,0,0,1
36,Marnus Labuschangne,Australia,46,1554,37,85.38,127,6,10,2,0,203,2,115,6.8,101.5,0,1
37,Cameron Green,Australia,23,442,31.57,83.4,36,9,1,0,0,688,16,41,5.72,43,1,2
38,Mitchell Marsh,Australia,86,2480,34.44,94.48,227,79,18,2,0,2153,56,34.93,5.45,38.45,1,2
39,Glenn Maxwell,Australia,136,3892,35.71,127.06,373,150,23,4,1,3623,69,48.03,5.49,52.51,0,2
40,Marcus Stoinis,Australia,69,1487,27.04,94.96,133,49,6,1,0,2023,47,42.85,5.97,43.04,0,2
41,Sean Abbott,Australia,17,228,17.54,107.55,25,7,1,0,0,789,20,36.85,5.6,39.45,0,2
42,Alex Carey,Australia,72,1814,32.98,88.4,167,18,8,1,0,0,0,0,0,0,0,4
43,Josh Inglis,Australia,15,274,18.27,100.74,28,7,2,0,0,0,0,0,0,0,0,4
44,Pat Cummins,Australia,85,478,13.28,76.36,37,11,0,0,0,4417,136,28.68,5.3,32.48,1,3
45,Josh Hazlewood,Australia,82,121,17.29,90.38,13,3,0,0,0,4317,128,26.72,4.75,33.73,3,3
46,Adam Zampa,Australia,93,285,9.5,65.67,26,1,0,0,0,4890,162,27.85,5.53,30.19,1,3
47,Mitchell Starc,Australia,119,555,12.07,81.5,40,14,1,0,0,6120,230,23.18,5.23,26.61,9,3
48,,,,,,,,,,,,,,,,,,
49,Kane Williamson,New Zew,164,6728,48.4,81.26,613,54,44,13,0,1467,37,35.41,5.37,39.65,0,1
50,Mark Chapman,New Zew,19,455,35,109.64,38,16,0,2,0,0,0,0,0,0,0,1
51,Glenn Phillips,New Zew,29,677,33.85,95.22,48,28,4,0,0,432,12,36.5,6.08,36,0,1
52,Will Young,New Zew,28,1024,40.96,85.76,107,20,7,2,0,0,0,0,0,0,0,1
53,Dary Mitchell,New Zew,38,1400,50,96.02,114,35,5,5,0,291,13,21.15,5.73,22.38,0,2
54,James Neesham,New Zew,76,1495,28.21,99.93,128,38,7,0,0,2448,71,36,6.26,34.48,2,2
55,Rachin Ravindra,New Zew,21,754,47.12,109.28,71,22,3,3,0,749,17,43.53,5.97,44.06,0,2
56,Mitchell Santner,New Zew,103,1346,28.04,91.25,100,38,3,0,0,4815,107,36.53,4.87,45,2,2
57,Devon Conway,New Zew,31,1233,45.67,89.8,151,16,3,5,0,0,0,0,0,0,0,4
58,Tom Latham,New Zew,143,3952,34.67,85.23,333,53,23,7,0,0,0,0,0,0,0,4
59,Trent Boult,New Zew,112,214,8.92,77.26,20,7,0,0,0,6060,207,24.27,4.97,29.28,6,3
60,Lockie Ferguson,New Zew,64,116,7.25,50,6,2,0,0,0,3252,99,30.9,5.64,32.85,1,3
61,Matt Henry,New Zew,82,255,11.09,92.06,21,10,0,0,0,4277,141,26.4,5.22,30.33,2,3
62,Ish Sodhi,New Zew,50,201,10.05,72.83,7,10,0,0,0,2407,61,36.33,5.52,39.46,1,3
63,Tim Southee,New Zew,160,733,12.22,96.32,58,26,1,0,0,8015,218,33.7,5.5,36.77,3,3