Player Name,Runs,Fours,Sixes,Wickets,Balls Bowled,Bowls faced,Matches played
TA Boult,19,1,1,13,503,23,9
MJ Henry,19,1,1,11,332,22,7
MJ Santner,94,6,5,16,501,71,9
JDS Neesham,58,3,3,2,89,50,3
R Ravindra,565,52,17,5,354,537,9
GD Phillips,244,18,12,6,214,228,9
CR Woakes,127,14,2,9,304,157,7
SM Curran,35,1,0,2,110,57,3
MA Wood,85,7,5,6,332,66,7
MM Ali,87,8,0,3,196,125,5
AU Rashid,92,7,2,13,420,94,8
LS Livingstone,60,6,0,3,174,94,6
A Dutt,65,1,5,10,433,80,8
LV van Beek,124,7,3,12,389,174,7
CN Ackermann,181,21,0,5,267,239,8
PA van Meekeren,23,3,0,11,402,52,8
BFW de Leede,127,14,2,14,354,182,8
RE van der Merwe,52,3,1,5,279,83,7
Vikramjit Singh,98,12,1,0,43,153,6
Saqib Zulfiqar,13,1,0,1,31,33,2
Shaheen Shah Afridi,30,4,0,16,448,38,8
Hasan Ali,20,4,0,9,321,29,6
Haris Rauf,18,2,1,13,429,22,8
Iftikhar Ahmed,139,11,8,3,250,124,8
Mohammad Nawaz,81,5,3,2,227,100,5
Shadab Khan,117,6,4,2,169,117,5
Taskin Ahmed,49,1,3,4,278,93,6
Shoriful Islam,28,3,1,10,399,29,8
Mustafizur Rahman,42,4,1,5,343,92,7
Shakib Al Hasan,186,21,4,10,377,229,7
Mehedi Hasan Miraz,172,17,2,10,401,238,8
Mahmudullah,296,27,11,0,31,341,7
Fazalhaq Farooqi,2,0,0,6,249,9,6
Mujeeb Ur Rahman,51,6,2,8,500,40,9
Naveen-ul-Haq,16,2,0,8,332,25,8
Rashid Khan,105,7,5,11,531,115,9
Mohammad Nabi,55,3,1,8,372,77,9
Azmatullah Omarzai,353,26,13,7,235,370,9
CAK Rajitha,52,6,1,8,306,60,6
D Madushanka,28,4,0,21,496,69,9
MD Shanaka,80,6,3,0,66,83,2
DM de Silva,140,13,4,0,154,186,8
M Pathirana,6,1,0,2,128,19,2
DN Wellalage,12,1,0,2,178,18,3
L Ngidi,11,0,0,10,387,43,8
M Jansen,157,9,9,17,425,146,8
K Rabada,15,0,1,12,411,33,8
KA Maharaj,55,7,1,14,482,76,9
G Coetzee,35,2,1,18,337,39,7
JJ Bumrah,17,1,0,15,398,26,8
Mohammed Siraj,0,0,0,10,376,0,8
HH Pandya,11,0,1,5,101,8,4
R Ashwin,0,0,0,1,60,0,1
Kuldeep Yadav,9,1,0,12,395,15,8
RA Jadeja,111,7,3,14,388,99,8
MA Starc,71,5,1,10,436,120,8
JR Hazlewood,4,0,0,12,421,5,8
PJ Cummins,114,11,5,10,378,165,8
GJ Maxwell,397,40,22,5,319,265,7
C Green,63,6,0,0,12,86,3
A Zampa,48,5,0,20,422,63,8
R Klein,8,0,0,0,43,15,1
LH Ferguson,1,0,0,10,283,6,6
Mahedi Hasan,31,2,0,6,91,72,2
RJW Topley,16,3,0,8,174,9,3
M Theekshana,100,11,1,6,441,189,8
KIC Asalanka,288,19,11,0,6,345,8
SN Thakur,0,0,0,2,104,0,3
MR Marsh,249,25,11,2,46,262,7
MP Stoinis,87,8,4,3,87,80,5
T Shamsi,8,1,0,7,178,11,3
DJ Mitchell,418,39,15,0,9,390,8
JE Root,216,17,2,1,61,244,8
CBRLS Kumara,4,1,0,3,66,8,2
C Karunaratne,8,1,0,0,80,28,3
Nasum Ahmed,33,5,0,0,87,37,2
Hasan Mahmud,15,2,0,3,88,25,2
Usama Mir,0,0,0,4,217,3,4
MADI Hemantha,4,1,0,0,97,4,2
DJ Willey,63,5,5,8,252,64,5
AAP Atkinson,37,7,0,2,98,25,2
Mohammed Shami,4,0,0,16,159,10,4
Noor Ahmad,26,4,0,5,240,32,4
LB Williams,0,0,0,2,57,0,1
AD Mathews,51,4,1,6,135,80,5
AK Markram,396,42,9,0,64,357,9
Mohammad Wasim,7,0,1,8,175,11,3
Shariz Ahmad,6,0,0,0,12,8,1
PVD Chameera,6,0,0,2,190,39,4
Nazmul Hossain Shanto,177,19,1,0,6,236,8
TG Southee,7,1,0,4,139,11,3
Agha Salman,0,0,0,0,13,0,1
IS Sodhi,0,0,0,0,25,0,1
TM Head,120,11,7,0,48,80,3
Tanzim Hasan Sakib,5,1,0,3,62,6,1
AL Phehlukwayo,39,1,3,1,42,40,1
Rahmat Shah,320,28,2,0,6,429,9
JM Bairstow,156,20,2,0,0,184,8
DJ Malan,373,45,9,0,0,377,8
HC Brook,139,18,3,0,0,134,5
JC Buttler,111,8,4,0,0,126,8
DP Conway,359,51,4,0,0,362,9
WA Young,206,23,6,0,0,248,6
Fakhar Zaman,219,14,18,0,0,173,3
Imam-ul-Haq,162,23,0,0,0,181,6
Babar Azam,282,26,4,0,0,347,8
Mohammad Rizwan,359,36,5,0,0,368,7
Saud Shakeel,212,26,1,0,0,223,6
MP O'Dowd,108,19,1,0,0,168,8
AT Nidamanuru,110,10,4,0,0,132,6
SA Edwards,242,22,3,0,0,272,8
Rahmanullah Gurbaz,280,31,9,0,0,290,9
Ibrahim Zadran,376,39,5,0,0,510,9
Hashmatullah Shahidi,310,25,2,0,0,438,9
Najibullah Zadran,7,0,0,0,0,21,2
Tanzid Hasan,109,16,3,0,0,124,8
Liton Das,248,27,5,0,0,315,8
Mushfiqur Rahim,181,14,3,0,0,235,8
Q de Kock,591,57,21,0,0,555,9
T Bavuma,145,18,3,0,0,196,7
HE van der Dussen,442,39,8,0,0,507,9
H Klaasen,326,24,17,0,0,239,9
DA Miller,255,17,15,0,0,223,9
P Nissanka,332,44,3,0,0,380,9
MDKJ Perera,149,25,2,0,0,153,7
BKG Mendis,294,27,15,0,0,269,9
S Samarawickrama,373,36,4,0,0,370,9
DA Warner,446,42,20,0,0,423,8
SPD Smith,205,23,1,0,0,241,7
M Labuschagne,286,25,2,0,0,375,8
AT Carey,0,0,0,0,0,2,1
RG Sharma,442,50,22,0,0,365,8
Ishan Kishan,47,5,2,0,0,49,2
V Kohli,543,50,6,0,3,633,8
SS Iyer,293,22,11,0,0,308,8
KL Rahul,245,21,3,0,0,310,7
TWM Latham,155,12,3,0,0,171,7
MS Chapman,82,10,1,0,0,68,5
SA Engelbrecht,255,21,3,0,0,386,7
Towhid Hridoy,90,2,3,0,0,134,5
Abdullah Shafique,336,36,9,0,0,370,7
JP Inglis,131,14,3,0,0,122,7
KS Williamson,187,20,3,0,0,204,3
Shubman Gill,219,30,5,0,0,233,6
Ikram Alikhil,89,7,3,0,0,103,3
RR Hendricks,97,10,3,0,0,94,2
BA Stokes,220,15,9,0,0,271,5
SA Yadav,85,11,1,0,0,75,4
W Barresi,79,11,1,0,0,112,3
FDM Karunaratne,15,1,0,0,0,22,2
